Specimen Type,Lab Test Name,LBTEST,LBTESTCD,Collected Unit,Standard Unit,Standard Conversion Factor,Creation Date,Last Modified Date,Reference Standard Unit
plasma,Adrenocorticotropic Hormone,Adrenocorticotropic Hormone,,ng/L,pmol/L,0.22,2018/4/27,,Y
plasma,Adrenocorticotropic Hormone,Adrenocorticotropic Hormone,,pmol/L,pmol/L,1,2018/4/27,,Y
serum,Adrenocorticotropic Hormone,Adrenocorticotropic Hormone,,pg/mL,pmol/L,0.22,2018/4/27,,Y
serum,Adrenocorticotropic Hormone,Adrenocorticotropic Hormone,,ng/L,pmol/L,0.22,2018/4/27,,Y
serum,Adrenocorticotropic Hormone,Adrenocorticotropic Hormone,,pmol/L,pmol/L,1,2018/4/27,,Y
serum,Adrenocorticotropic Hormone Stimulation,#N/A,,microgm/dL,nmol/L,27.6,2018/4/27,,Y
serum,Alanine Aminotransferase,Alanine Aminotransferase,,IU/L,microkat/L,0.0167,2018/4/27,,Y
serum,Alanine Aminotransferase,Alanine Aminotransferase,,micromol/L/sec,microkat/L,1,2018/4/27,,Y
blood,Alanine Aminotransferase,Alanine Aminotransferase,,IU/L,microkat/L,0.0167,2018/4/27,,Y
plasma,Alanine Aminotransferase,Alanine Aminotransferase,,microkat/L,microkat/L,1,2018/4/27,,Y
plasma,Alanine Aminotransferase,Alanine Aminotransferase,,IU/dL,microkat/L,0.1667,2018/4/27,,Y
plasma,Alanine Aminotransferase,Alanine Aminotransferase,,mIU/mL,microkat/L,0.0167,2018/4/27,,Y
serum,Alanine Aminotransferase,Alanine Aminotransferase,,IU/dL,microkat/L,0.1667,2018/4/27,,Y
plasma,Alanine Aminotransferase,Alanine Aminotransferase,,IU/L,microkat/L,0.0167,2018/4/27,,Y
plasma,Alanine Aminotransferase,Alanine Aminotransferase,,micromol/L/sec,microkat/L,1,2018/4/27,,Y
serum,Alanine Aminotransferase,Alanine Aminotransferase,,micromol/L/min,microkat/L,0.0167,2018/4/27,,Y
blood,Alanine Aminotransferase,Alanine Aminotransferase,,microkat/L,microkat/L,1,2018/4/27,,Y
plasma,Alanine Aminotransferase,Alanine Aminotransferase,,micromol/L/min,microkat/L,0.0167,2018/4/27,,Y
serum,Alanine Aminotransferase,Alanine Aminotransferase,,mIU/mL,microkat/L,0.0167,2018/4/27,,Y
serum,Alanine Aminotransferase,Alanine Aminotransferase,,microkat/L,microkat/L,1,2018/4/27,,Y
blood,Alanine Aminotransferase,Alanine Aminotransferase,,mIU/mL,microkat/L,0.0167,2018/4/27,,Y
serum,Albumin,Albumin,ALB,micromol/dL,gm/L,0.69,2018/4/27,,Y
serum,Albumin,Albumin,ALB,micromol/L,gm/L,0.069,2018/4/27,,Y
serum,Albumin,Albumin,ALB,gm/L,gm/L,1,2018/4/27,,Y
plasma,Albumin,Albumin,ALB,gm/L,gm/L,1,2018/4/27,,Y
plasma,Albumin,Albumin,ALB,mg/dL,gm/L,0.01,2018/4/27,,Y
serum,Albumin,Albumin,ALB,mmol/L,gm/L,69,2018/4/27,,Y
blood,Albumin,Albumin,ALB,gm%,gm/L,10,2018/4/27,,Y
plasma,Albumin,Albumin,ALB,mmol/L,gm/L,69,2018/4/27,,Y
serum,Albumin,Albumin,ALB,mg/dL,gm/L,0.01,2018/4/27,,Y
plasma,Albumin,Albumin,ALB,gm%,gm/L,10,2018/4/27,,Y
blood,Albumin,Albumin,ALB,micromol/L,gm/L,0.069,2018/4/27,,Y
plasma,Albumin,Albumin,ALB,micromol/dL,gm/L,0.69,2018/4/27,,Y
blood,Albumin,Albumin,ALB,gm/dL,gm/L,10,2018/4/27,,Y
blood,Albumin,Albumin,ALB,mg/dL,gm/L,0.01,2018/4/27,,Y
blood,Albumin,Albumin,ALB,mmol/L,gm/L,69,2018/4/27,,Y
plasma,Albumin,Albumin,ALB,micromol/L,gm/L,0.069,2018/4/27,,Y
blood,Albumin,Albumin,ALB,gm/L,gm/L,1,2018/4/27,,Y
serum,Albumin,Albumin,ALB,gm/dL,gm/L,10,2018/4/27,,Y
serum,Albumin,Albumin,ALB,gm%,gm/L,10,2018/4/27,,Y
plasma,Albumin,Albumin,ALB,gm/dL,gm/L,10,2018/4/27,,Y
serum,Albumin,Albumin,ALB,%,%,1,2018/4/27,,Y
plasma,Albumin-Adjusted Calcium,#N/A,,mmol/L,mmol/L,1,2018/4/27,,Y
blood,Albumin-Adjusted Calcium,#N/A,,mmol/L,mmol/L,1,2018/4/27,,Y
serum,Albumin-Adjusted Calcium,#N/A,,mmol/L,mmol/L,1,2018/4/27,,Y
plasma,Albumin/Globulin Ratio,#N/A,,,,,2018/4/27,,
blood,Albumin/Globulin Ratio,#N/A,,,,,2018/4/27,,
serum,Albumin/Globulin Ratio,#N/A,,,,,2018/4/27,,
blood,Albumin/Protein,#N/A,,%,%,1,2018/4/27,,Y
serum,Albumin/Protein,#N/A,,%,%,1,2018/4/27,,Y
plasma,Albumin/Protein,#N/A,,%,%,1,2018/4/27,,Y
serum,Alder Tree Allergen,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
serum,Aldolase,ALDOLASE,,IU/L,microkat/L,0.017,2018/4/27,,Y
plasma,Aldosterone,Aldosterone,,pg/mL,nmol/L,0.0028,2018/4/27,,Y
blood,Aldosterone,Aldosterone,,pmol/L,nmol/L,0.001,2018/4/27,,Y
serum,Aldosterone,Aldosterone,,ng/dL,nmol/L,0.0277,2018/4/27,,Y
plasma,Aldosterone,Aldosterone,,pmol/L,nmol/L,0.001,2018/4/27,,Y
plasma,Aldosterone,Aldosterone,,ng/dL,nmol/L,0.0277,2018/4/27,,Y
serum,Aldosterone,Aldosterone,,pg/mL,nmol/L,0.0028,2018/4/27,,Y
serum,Aldosterone,Aldosterone,,pmol/L,nmol/L,0.001,2018/4/27,,Y
plasma,Aldosterone/Renin Activity Ratio,#N/A,,,,,2018/4/27,,
serum,Alkaline Phosphatase,Alkaline Phosphatase,,mIU/mL,microkat/L,0.0167,2018/4/27,,Y
plasma,Alkaline Phosphatase,Alkaline Phosphatase,,microkat/L,microkat/L,1,2018/4/27,,Y
serum,Alkaline Phosphatase,Alkaline Phosphatase,,IU/dL,microkat/L,0.1667,2018/4/27,,Y
plasma,Alkaline Phosphatase,Alkaline Phosphatase,,IU/L,microkat/L,0.0167,2018/4/27,,Y
serum,Alkaline Phosphatase,Alkaline Phosphatase,,microkat/L,microkat/L,1,2018/4/27,,Y
plasma,Alkaline Phosphatase,Alkaline Phosphatase,,IU/dL,microkat/L,0.1667,2018/4/27,,Y
serum,Alkaline Phosphatase,Alkaline Phosphatase,,micromol/L/sec,microkat/L,1,2018/4/27,,Y
blood,Alkaline Phosphatase,Alkaline Phosphatase,,IU/L,microkat/L,0.0167,2018/4/27,,Y
blood,Alkaline Phosphatase,Alkaline Phosphatase,,mIU/mL,microkat/L,0.0167,2018/4/27,,Y
plasma,Alkaline Phosphatase,Alkaline Phosphatase,,micromol/L/sec,microkat/L,1,2018/4/27,,Y
serum,Alkaline Phosphatase,Alkaline Phosphatase,,mU/mL,microkat/L,0.0167,2018/4/27,,Y
serum,Alkaline Phosphatase,Alkaline Phosphatase,,IU/L,microkat/L,0.0167,2018/4/27,,Y
plasma,Alkaline Phosphatase,Alkaline Phosphatase,,mIU/mL,microkat/L,0.0167,2018/4/27,,Y
serum,Alkaline Phosphatase,Alkaline Phosphatase,,micromol/L/min,microkat/L,0.0167,2018/4/27,,Y
plasma,Alkaline Phosphatase,Alkaline Phosphatase,,micromol/L/min,microkat/L,0.0167,2018/4/27,,Y
blood,Alkaline Phosphatase,Alkaline Phosphatase,,microkat/L,microkat/L,1,2018/4/27,,Y
serum,Alpha 1-Acid Glycoprotein,#N/A,,mg/dL,micromol/L,0.2439,2018/4/27,,Y
serum,Alpha 1-Antitrypsin,#N/A,,gm/L,gm/L,1,2018/4/27,,Y
plasma,Alpha 1-Antitrypsin,#N/A,,mg/dL,gm/L,0.01,2018/4/27,,Y
blood,Alpha 1-Antitrypsin,#N/A,,mg/dL,gm/L,0.01,2018/4/27,,Y
serum,Alpha 1-Antitrypsin,#N/A,,mg/dL,gm/L,0.01,2018/4/27,,Y
plasma,Alpha 1-Antitrypsin,#N/A,,mg/mL,gm/L,1,2018/4/27,,Y
blood,Alpha 1-Antitrypsin,#N/A,,gm/L,gm/L,1,2018/4/27,,Y
serum,Alpha 1-Globulin,#N/A,,gm/L,gm/L,1,2018/4/27,,Y
serum,Alpha 1-Globulin,#N/A,,gm/dL,gm/L,10,2018/4/27,,Y
blood,Alpha 1-Globulin,#N/A,,gm/dL,gm/L,10,2018/4/27,,Y
serum,Alpha 1-Globulin,#N/A,,gm%,gm/L,10,2018/4/27,,Y
blood,Alpha 1-Globulin,#N/A,,gm/L,gm/L,1,2018/4/27,,Y
plasma,Alpha 1-Globulin/Protein,#N/A,,%,%,1,2018/4/27,,Y
serum,Alpha 1-Globulin/Protein,#N/A,,%,%,1,2018/4/27,,Y
blood,Alpha 1-Globulin/Protein,#N/A,,%,%,1,2018/4/27,,Y
plasma,Alpha 2-Antiplasmin,#N/A,,%,%,1,2018/4/27,,Y
serum,Alpha 2-Globulin,#N/A,,gm%,gm/L,10,2018/4/27,,Y
serum,Alpha 2-Globulin,#N/A,,gm/dL,gm/L,10,2018/4/27,,Y
blood,Alpha 2-Globulin,#N/A,,gm/L,gm/L,1,2018/4/27,,Y
blood,Alpha 2-Globulin,#N/A,,gm/dL,gm/L,10,2018/4/27,,Y
serum,Alpha 2-Globulin,#N/A,,gm/L,gm/L,1,2018/4/27,,Y
plasma,Alpha 2-Globulin/Protein,#N/A,,%,%,1,2018/4/27,,Y
blood,Alpha 2-Globulin/Protein,#N/A,,%,%,1,2018/4/27,,Y
serum,Alpha 2-Globulin/Protein,#N/A,,%,%,1,2018/4/27,,Y
serum,Alpha 2-Macroglobulin,#N/A,,mg/dL,gm/L,0.01,2018/4/27,,Y
plasma,Alpha 2-Macroglobulin,#N/A,,mg/dL,gm/L,0.01,2018/4/27,,Y
serum,Alpha 2-Macroglobulin,#N/A,,gm/L,gm/L,1,2018/4/27,,Y
plasma,Alpha 2-Macroglobulin,#N/A,,mg/mL,gm/L,1,2018/4/27,,Y
plasma,Alpha 2-Macroglobulin,#N/A,,gm/L,gm/L,1,2018/4/27,,Y
blood,Alpha Angle,#N/A,,deg,deg,1,2018/4/27,,Y
serum,Alpha Tocopherol,Alpha Tocopherol,,micromol/L,micromol/L,1,2018/4/27,,Y
serum,Alpha Tocopherol,Alpha Tocopherol,,mg/L,micromol/L,2.322,2018/4/27,,Y
serum,Alpha Tocopherol,Alpha Tocopherol,,mg/dL,micromol/L,23.22,2018/4/27,,Y
plasma,Alpha-Fetoprotein,#N/A,,microgm/L,microgm/L,1,2018/4/27,,Y
serum,Alpha-Fetoprotein,#N/A,,ng/dL,microgm/L,0.01,2018/4/27,,Y
serum,Alpha-Fetoprotein,#N/A,,mg/dL,microgm/L,10000,2018/4/27,,Y
plasma,Alpha-Fetoprotein,#N/A,,IU/mL,microgm/L,1.21,2018/4/27,,Y
plasma,Alpha-Fetoprotein,#N/A,,ng/dL,microgm/L,0.01,2018/4/27,,Y
plasma,Alpha-Fetoprotein,#N/A,,kIU/L,microgm/L,1.21,2018/4/27,,Y
blood,Alpha-Fetoprotein,#N/A,,IU/mL,microgm/L,1.21,2018/4/27,,Y
blood,Alpha-Fetoprotein,#N/A,,kIU/L,microgm/L,1.21,2018/4/27,,Y
plasma,Alpha-Fetoprotein,#N/A,,ng/mL,microgm/L,1,2018/4/27,,Y
serum,Alpha-Fetoprotein,#N/A,,IU/mL,microgm/L,1.21,2018/4/27,,Y
blood,Alpha-Fetoprotein,#N/A,,microgm/L,microgm/L,1,2018/4/27,,Y
serum,Alpha-Fetoprotein,#N/A,,kIU/L,microgm/L,1.21,2018/4/27,,Y
serum,Alpha-Fetoprotein,#N/A,,ng/mL,microgm/L,1,2018/4/27,,Y
serum,Alpha-Fetoprotein,#N/A,,microgm/L,microgm/L,1,2018/4/27,,Y
blood,Alpha-Fetoprotein,#N/A,,ng/mL,microgm/L,1,2018/4/27,,Y
serum,Alpha-Fetoprotein Lectin-Reactive L3/AFP,#N/A,,%,%,1,2018/4/27,,Y
serum,Alternaria Alternata Allergen RAST,#N/A,,kIU/L,kIU/L,1,2018/4/27,,N
serum,Alternaria Tenuis IgE,#N/A,,kIU/L,kIU/L,1,2018/4/27,,N
blood,Alternaria Tenuis IgE,#N/A,,kIU/L,kIU/L,1,2018/4/27,,N
serum,Alternaria Tenuis IgE,#N/A,,IU/mL,kIU/L,1,2018/4/27,,Y
blood,Alveolo-Arterial Oxygen Tension Gradient,#N/A,,mm Hg,torr (unit),1,2018/4/27,,Y
serum,Amaranth Weed Allergen,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
serum,American Cockroach Allergen RAST,#N/A,,kIU/L,kIU/L,1,2018/4/27,,N
serum,American Elm Tree Allergen,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
serum,American Elm Tree IgE,#N/A,,kIU/L,kIU/L,1,2018/4/27,,N
serum,Amiodarone,#N/A,,microgm/mL,micromol/L,1.55,2018/4/27,,Y
plasma,Amiodarone,#N/A,,microgm/mL,micromol/L,1.55,2018/4/27,,Y
serum,Ammonia,AMMONIA,,micromol/L,micromol/L,1,2018/4/27,,Y
blood,Ammonia,AMMONIA,,micromol/L,micromol/L,1,2018/4/27,,Y
plasma,Ammonia,AMMONIA,,micromol/L,micromol/L,1,2018/4/27,,Y
plasma,Ammonia,AMMONIA,,microgm/dL,micromol/L,0.587,2018/4/27,,Y
blood,Ammonia,AMMONIA,,microgm/dL,micromol/L,0.587,2018/4/27,,Y
plasma,Amylase,AMYLASE,,microkat/L,microkat/L,1,2018/4/27,,Y
plasma,Amylase,AMYLASE,,IU/dL,microkat/L,0.1667,2018/4/27,,Y
plasma,Amylase,AMYLASE,,mIU/mL,microkat/L,0.0167,2018/4/27,,Y
serum,Amylase,AMYLASE,,mIU/mL,microkat/L,0.0167,2018/4/27,,Y
serum,Amylase,AMYLASE,,IU/L,microkat/L,0.0167,2018/4/27,,Y
blood,Amylase,AMYLASE,,IU/L,microkat/L,0.0167,2018/4/27,,Y
serum,Amylase,AMYLASE,,microkat/L,microkat/L,1,2018/4/27,,Y
blood,Amylase,AMYLASE,,microkat/L,microkat/L,1,2018/4/27,,Y
plasma,Amylase,AMYLASE,,IU/L,microkat/L,0.0167,2018/4/27,,Y
serum,Amylase,AMYLASE,,IU/dL,microkat/L,0.1667,2018/4/27,,Y
serum,Amylase.,#N/A,,microkat/L,microkat/L,1,2018/4/27,,Y
plasma,Amylase.,#N/A,,IU/L,microkat/L,0.0167,2018/4/27,,Y
serum,Amylase.,#N/A,,IU/L,microkat/L,0.0167,2018/4/27,,Y
serum,Amyloid A Protein,#N/A,,mg/L,mg/L,1,2018/4/27,,Y
serum,Amyloid A Protein,#N/A,,microgm/mL,mg/L,0.01,2018/4/27,,Y
serum,Amyloid Beta Protein 1-40 IgG Ab ELISA,#N/A,,titer (:),titer (:),1,2018/4/27,,Y
plasma,Amyloid P,Amyloid P,,microgm/mL,microgm/mL,1,2018/4/27,,Y
serum,Androstenedione,Androstenedione,,ng/mL,nmol/L,3.49,2018/4/27,,Y
blood,Angiotensin Converting Enzyme,Angiotensin Converting Enzyme,,IU/L,microkat/L,0.017,2018/4/27,,Y
serum,Angiotensin Converting Enzyme,Angiotensin Converting Enzyme,,IU/L,microkat/L,0.017,2018/4/27,,Y
serum,Animal Dander ex1 Allergen Sp IgE,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
serum,Animal Epidermal ex73 Allergen Sp IgE,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
plasma,Anion Gap,Anion Gap,,mmol/L,mmol/L,1,2018/4/27,,Y
serum,Anion Gap,Anion Gap,,mmol/L,mmol/L,1,2018/4/27,,Y
serum,Anion Gap,Anion Gap,,mEq/L,mmol/L,1,2018/4/27,,Y
blood,Anion Gap,Anion Gap,,mmol/L,mmol/L,1,2018/4/27,,Y
plasma,Anion Gap,Anion Gap,,mEq/L,mmol/L,1,2018/4/27,,Y
blood,Anion Gap,Anion Gap,,mEq/L,mmol/L,1,2018/4/27,,Y
serum,Anisakis IgE,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
serum,Anisakis IgE,#N/A,,IU/mL,kIU/L,1,2018/4/27,,Y
serum,Anti-BP 180 Antibody,#N/A,,U/mL,U/mL,1,2018/4/27,,Y
serum,Anti-BP180NC16A Autoantibody,#N/A,,U/mL,U/mL,1,2018/4/27,,Y
serum,Anti-DNA Antibodies,Anti-DNA Antibodies,,IU/mL,IU/mL,1,2018/4/27,,N
serum,Anti-Drug Antibody Titration,#N/A,,titer (:),titer (:),1,2018/4/27,,Y
serum,Anti-IGF1R-HAHAS1,#N/A,,titer (:),titer (:),1,2018/4/27,,Y
serum,Anti-IGF1R-HAHAS2,#N/A,,titer (:),titer (:),1,2018/4/27,,Y
serum,Anti-P53 Antibodies,#N/A,,U/mL,U/mL,1,2018/4/27,,Y
serum,Anti-Pneumococcal IgG Ab Seroty-Specific,#N/A,,microgm/mL,microgm/mL,1,2018/4/27,,Y
serum,Anti-Ro52 Antibody,#N/A,,U/mL,U/mL,1,2018/4/27,,Y
serum,Anti-Ro60 Antibody,#N/A,,U/mL,U/mL,1,2018/4/27,,Y
serum,Anti-Scl-70 Antibodies,#N/A,,IU/mL,U/mL,1,2018/4/27,,Y
serum,Anti-Scl-70 Antibodies,#N/A,,U/mL,U/mL,1,2018/4/27,,Y
serum,Anti-Single Stranded DNA,#N/A,,IU/mL,IU/mL,1,2018/4/27,,Y
blood,Anti-Smooth Muscle Antibodies,#N/A,,,,,2018/4/27,,
serum,Anti-Smooth Muscle Antibodies,#N/A,,,,,2018/4/27,,
serum,Anti-Smooth Muscle IgG Antibody,#N/A,,units,units,1,2018/4/27,,Y
serum,Anti-Toxin A Endogenous Antibody,#N/A,,ng/mL,ng/mL,1,2018/4/27,,Y
serum,Anti-Toxin B Endogenous Antibody,#N/A,,ng/mL,ng/mL,1,2018/4/27,,Y
serum,Anticentromere Antibody,#N/A,,Ab index,Ab index,1,2018/4/27,,Y
plasma,Antidiuretic Hormone,Antidiuretic Hormone,,pmol/L,pmol/L,1,2018/4/27,,Y
plasma,Antidiuretic Hormone,Antidiuretic Hormone,,pg/mL,pmol/L,0.926,2018/4/27,,Y
serum,Antimullerian Hormone,#N/A,,pmol/L,pmol/L,1,2018/4/27,,Y
serum,Antimullerian Hormone,#N/A,,ng/mL,pmol/L,7.14,2018/4/27,,Y
serum,Antimyeloperoxidase Antibody,#N/A,,U/mL,U/mL,1,2018/4/27,,Y
serum,Antimyeloperoxidase Antibody,#N/A,,IU/mL,U/mL,1,2018/4/27,,Y
serum,Antineutrophil Cytoplasmic Antibody,#N/A,,ratio (/),ratio (/),1,2018/4/27,,Y
serum,Antinuclear Antibody,#N/A,,titer (:),titer (:),1,2018/4/27,,Y
blood,Antinuclear Antibody,#N/A,,titer (:),titer (:),1,2018/4/27,,Y
serum,Antiproteinase 3 Antibody,#N/A,,IU/mL,U/mL,1,2018/4/27,,Y
blood,Antiproteinase 3 Antibody,#N/A,,U/mL,U/mL,1,2018/4/27,,Y
serum,Antiproteinase 3 Antibody,#N/A,,U/mL,U/mL,1,2018/4/27,,Y
serum,Antistreptolysin O Antigen,#N/A,,IU/mL,IU/mL,1,2018/4/27,,N
blood,Antistreptolysin O Antigen,#N/A,,IU/mL,IU/mL,1,2018/4/27,,Y
plasma,Antistreptolysin O Antigen,#N/A,,IU/mL,IU/mL,1,2018/4/27,,Y
plasma,Antithrombin Antigen,Antithrombin Antigen,,%,%,1,2018/4/27,,Y
blood,Antithrombin III,#N/A,,%,%,1,2018/4/27,,Y
plasma,Antithrombin III,#N/A,,%,%,1,2018/4/27,,Y
serum,Antithyroid Antimicrosomal Antibodies,#N/A,,IU/mL,kIU/L,1,2018/4/27,,Y
serum,Antithyroid Antimicrosomal Antibodies,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
blood,Antithyroid Peroxidase Antibody,#N/A,,IU/mL,IU/mL,1,2018/4/27,,N
plasma,Antithyroid Peroxidase Antibody,#N/A,,IU/mL,IU/mL,1,2018/4/27,,Y
plasma,Antithyroid Peroxidase Antibody,#N/A,,kIU/L,IU/mL,1,2018/4/27,,Y
blood,Antithyroid Peroxidase Antibody,#N/A,,kIU/L,IU/mL,1,2018/4/27,,N
serum,Antithyroid Peroxidase Antibody,#N/A,,IU/mL,IU/mL,1,2018/4/27,,N
serum,Antithyroid Peroxidase Antibody,#N/A,,kIU/L,IU/mL,1,2018/4/27,,Y
plasma,Apolipoprotein A-I,#N/A,,gm/L,gm/L,1,2018/4/27,,Y
serum,Apolipoprotein A-I,#N/A,,mg/dL,gm/L,0.01,2018/4/27,,Y
plasma,Apolipoprotein A-I,#N/A,,mg/dL,gm/L,0.01,2018/4/27,,Y
plasma,Apolipoprotein A-I,#N/A,,mg/mL,gm/L,1,2018/4/27,,Y
blood,Apolipoprotein A-I,#N/A,,mg/dL,gm/L,0.01,2018/4/27,,Y
serum,Apolipoprotein A-I,#N/A,,mg/mL,gm/L,1,2018/4/27,,Y
serum,Apolipoprotein A-I,#N/A,,gm/L,gm/L,1,2018/4/27,,Y
serum,Apolipoprotein A-II,#N/A,,mg/dL,gm/L,0.01,2018/4/27,,Y
plasma,Apolipoprotein A-II,#N/A,,mg/dL,gm/L,0.01,2018/4/27,,Y
plasma,Apolipoprotein A-ll,#N/A,,mg/dL,gm/L,0.01,2018/4/27,,Y
blood,Apolipoprotein A-ll,#N/A,,mg/dL,gm/L,0.01,2018/4/27,,Y
serum,Apolipoprotein A-ll,#N/A,,mg/dL,gm/L,0.01,2018/4/27,,Y
serum,Apolipoprotein B,Apolipoprotein B,,mg/dL,gm/L,0.01,2018/4/27,,Y
plasma,Apolipoprotein B,Apolipoprotein B,,mg/dL,gm/L,0.01,2018/4/27,,Y
blood,Apolipoprotein B,Apolipoprotein B,,mg/dL,gm/L,0.01,2018/4/27,,Y
serum,Apolipoprotein B/A-I Ratio,#N/A,,,,,2018/4/27,,
blood,Apolipoprotein B/A-I Ratio,#N/A,,,,,2018/4/27,,
plasma,Apolipoprotein B/A-I Ratio,#N/A,,,,,2018/4/27,,
plasma,Apolipoprotein C-III,#N/A,,mg/dL,mg/dL,1,2018/4/27,,N
plasma,Apolipoprotein C-III,#N/A,,mg/L,mg/dL,0.1,2018/4/27,,N
plasma,Apolipoprotein C-III,#N/A,,microgm/mL,mg/dL,0.1,2018/4/27,,N
blood,Apolipoprotein C-III,#N/A,,mg/dL,mg/dL,1,2018/4/27,,N
serum,Apolipoprotein C-III,#N/A,,mg/dL,mg/dL,1,2018/4/27,,N
serum,Apolipoprotein C-III,#N/A,,mg/L,mg/dL,0.1,2018/4/27,,N
serum,Apolipoprotein CIII B Lipoproteins,#N/A,,mg/L,mg/dL,0.1,2018/4/27,,N
serum,Apolipoprotein CIII B Lipoproteins,#N/A,,mg/dL,mg/dL,1,2018/4/27,,N
